시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수,WGS84위도,WGS84경도
양평군,2017   ,2017-08-14 16시,주간,월요일,차대차,기타,중앙선 침범,단일로,기타단일로,건설기계,건설기계,승용차,승용차,1,0,4,1,2,37.44525945,127.65796806
동두천시,2017   ,2017-08-14 05시,야간,월요일,차대사람,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.89438659,127.08053206
성남시,2017   ,2017-08-12 04시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,1,0,1,0,0,37.43320508,127.12771103
평택시,2017   ,2017-08-11 09시,주간,금요일,차대차,측면충돌,신호위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,1,0,1,0,0,36.9886956,126.92092148
군포시,2017   ,2017-08-10 10시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,2,1,0,37.33579392,126.92524392
파주시,2017   ,2017-08-10 00시,야간,목요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.93046707,126.83134316
평택시,2017   ,2017-08-08 13시,주간,화요일,차대차,정면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0,37.0656582,127.0614498
화성시,2017   ,2017-08-07 21시,야간,월요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.21483613,126.81811174
안성시,2017   ,2017-08-07 14시,주간,월요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,1,0,0,37.07336658,127.39862811
화성시,2017   ,2017-08-07 14시,주간,월요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0,37.1123858,126.82017953
시흥시,2017   ,2017-08-07 10시,주간,월요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,1,0,0,37.39187815,126.83109573
이천시,2017   ,2017-08-05 18시,야간,토요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,승용차,승용차,1,0,1,0,0,37.28112967,127.44773678
양주시,2017   ,2017-08-05 00시,야간,토요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.82017717,127.04754782
용인시,2017   ,2017-08-04 20시,야간,금요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0,37.32274541,127.0908522
안산시,2017   ,2017-08-04 11시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.31925475,126.83272179
가평군,2017   ,2017-08-04 05시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,교량위,승용차,승용차,농기계,농기계,1,0,1,0,0,37.63147688,127.48381592
광명시,2017   ,2017-08-03 15시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.47751015,126.87267749
과천시,2017   ,2017-08-03 14시,주간,목요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,이륜차,이륜차,1,0,1,0,0,37.44119304,126.99890144
평택시,2017   ,2017-08-01 20시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,2,0,1,37.01565219,127.03215053
파주시,2017   ,2017-08-01 15시,주간,화요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,보행자,보행자,1,0,1,0,0,37.76567562,126.77525543
광주시,2017   ,2017-08-01 06시,주간,화요일,차대사람,보도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,2,0,1,37.35034322,126.98828278
용인시,2017   ,2017-07-31 16시,주간,월요일,차대사람,횡단중,신호위반,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0,37.32857608,127.11462626
광명시,2017   ,2017-07-31 16시,주간,월요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,화물차,화물차,1,0,2,0,1,37.4073344,126.85338753
가평군,2017   ,2017-07-30 09시,주간,일요일,차대차,정면충돌,중앙선 침범,교차로,교차로부근,승용차,승용차,승합차,승합차,1,1,3,0,1,37.82107936,127.34500667
파주시,2017   ,2017-07-30 05시,야간,일요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,자전거,자전거,1,0,1,0,0,37.70582116,126.75957073
의정부시,2017   ,2017-07-29 22시,야간,토요일,차대차,측면충돌,신호위반,교차로,교차로부근,승용차,승용차,자전거,자전거,1,0,1,0,0,37.74968748,127.05285842
양평군,2017   ,2017-07-29 12시,주간,토요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,없음,없음,1,0,1,0,0,37.53836749,127.71180627
평택시,2017   ,2017-07-29 09시,주간,토요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),승용차,승용차,1,0,3,0,2,37.09001983,127.05317415
오산시,2017   ,2017-07-29 05시,야간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1,0,1,0,0,37.14872576,127.05949542
고양시,2017   ,2017-07-29 02시,야간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.66832302,126.8491796
구리시,2017   ,2017-07-28 09시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0,37.60648979,127.13298969
안산시,2017   ,2017-07-28 07시,주간,금요일,차대차,기타,과속,단일로,기타단일로,승용차,승용차,화물차,화물차,1,3,4,0,0,37.3355668,126.87511291
고양시,2017   ,2017-07-27 23시,야간,목요일,차대사람,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.63069459,126.83021899
남양주시,2017   ,2017-07-26 09시,주간,수요일,차대차,기타,과속,단일로,기타단일로,승용차,승용차,화물차,화물차,1,1,2,0,0,37.67511415,127.11487088
수원시,2017   ,2017-07-25 00시,야간,화요일,차대사람,횡단중,과속,교차로,교차로부근,승용차,승용차,보행자,보행자,1,0,1,0,0,37.27393992,126.94582571
화성시,2017   ,2017-07-24 23시,야간,월요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0,37.21337914,127.03014349
연천군,2017   ,2017-07-24 10시,주간,월요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0,38.02483831,127.06780331
성남시,2017   ,2017-07-24 03시,야간,월요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1,0,1,0,0,37.44850762,127.12684382
고양시,2017   ,2017-07-24 01시,야간,월요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0,37.61000126,126.82097812
김포시,2017   ,2017-07-22 01시,야간,토요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,특수차,특수차,1,2,3,0,0,37.6427584,126.62563023
화성시,2017   ,2017-07-22 01시,야간,토요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,개인형이동수단(PM),개인형이동수단(PM),없음,없음,1,0,1,0,0,37.10928726,126.90800682
수원시,2017   ,2017-07-21 23시,야간,금요일,차대차,정면충돌,신호위반,교차로,교차로내,승용차,승용차,승합차,승합차,1,0,1,0,0,37.26747072,126.94257981
파주시,2017   ,2017-07-21 10시,주간,금요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0,37.72338713,126.74948984
평택시,2017   ,2017-07-21 01시,야간,금요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,2,3,0,0,37.03035421,127.07269385
화성시,2017   ,2017-07-20 21시,야간,목요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1,1,3,1,0,37.18890479,126.9680236
용인시,2017   ,2017-07-20 08시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0,37.11577624,127.11293845
평택시,2017   ,2017-07-20 00시,야간,목요일,차대사람,횡단중,과속,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0,36.99473474,127.11366513
남양주시,2017   ,2017-07-19 17시,주간,수요일,차대차,측면충돌,부당한 회전,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),화물차,화물차,1,0,1,0,0,37.70044385,127.17882115
군포시,2017   ,2017-07-18 19시,야간,화요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,1,0,1,0,0,37.3344705,126.93682468
양평군,2017   ,2017-07-18 18시,야간,화요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,교량위,이륜차,이륜차,없음,없음,1,0,2,0,1,37.53400112,127.30701759
안양시,2017   ,2017-07-18 16시,주간,화요일,차대사람,보도통행중,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,보행자,보행자,1,0,1,0,0,37.38673605,126.95298307
안성시,2017   ,2017-07-18 10시,주간,화요일,차대차,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,농기계,농기계,1,0,1,0,0,37.03317857,127.18279978
